Name,UserName,Email,Phone,Country Code,Timezone,Affiliate,LearnerGroups,DateOfBirth,Address1,Address2,City,State,Pincode,Designation,DateOfJoining,EmployeeBand
Farhan Bedi,farhan_bedi,farhan_bedi1281@gmail.com,7002800925,IN,Asia/Kolkata,test,finance,"""2000-10-20""","51/617 Chada Nagar, Bhatpara 732698","968 Rout Marg, Kumbakonam 945900",Bhatpara,Odisha,732698,Pilot,"""2020-12-16""",empb-15
Trisha Shroff,trisha_shroff,trisha_shroff7742@yahoo.com,9631701121,IN,Asia/Kolkata,India,hr,"""1994-06-24""","H.No. 30, Bhakta Path Begusarai 091823","192, Buch Street Darbhanga 188939",Begusarai,kerala,091823,Priest,"""2020-10-03""",empb-21
Darshit Biswas,darshit_biswas,darshit_biswas4280@gmail.com,8813499508,IN,Asia/Kolkata,India,hr,"""1996-11-09""","843, Bava Zila, Panihati-443361","980, Kanda Path Siliguri 248949",Panihati,Tamilnadu,443361,Pilot,"""2021-09-27""",empb-90
Miraya Ahluwalia,miraya_ahluwalia,miraya_ahluwalia2311@protonmail.com,9953199571,IN,Asia/Kolkata,test,operations,"""1995-11-16""","H.No. 14, Lad Ganj, Pali-415346","84/147, Sane, Latur 685456",Pali,kerala,415346,Thief,"""2021-02-11""",empb-80
Anya Solanki,anya_solanki,anya_solanki7615@gmail.com,9631124566,IN,Asia/Kolkata,India,sales,"""1993-03-07""","83/69, Ravel Mau-959278","50, Bhargava Marg Katihar-529841",Mau,Maharashtra,959278,Pilot,"""2021-10-05""",empb-90
Nishith Madan,nishith_madan,nishith_madan2257@yahoo.com,8816662196,IN,Asia/Kolkata,test,operations,"""1996-06-02""","14/789, Divan Circle, Jamshedpur-450699",42/78 Walia Rampur-736393,Jamshedpur,West Bengal,450699,Priest,"""2021-01-12""",empb-23
Himmat Majumdar,himmat_majumdar,himmat_majumdar3400@rediffmail.com,9955536023,IN,Asia/Kolkata,test,sales,"""1998-10-06""","45/79, Sarin Marg Shimla 113225","39 Lall Circle, Dewas-469286",Shimla,West Bengal,113225,Robber,"""2021-04-12""",empb-70
Vaibhav Edwin,vaibhav_edwin,vaibhav_edwin7739@yahoo.com,9638957872,IN,Asia/Kolkata,test,sales,"""1993-02-09""","49, Sarraf Ganj Madanapalle-261549","H.No. 34 Goel Circle, Tadipatri-114648",Madanapalle,Bihar,261549,Robber,"""2020-12-13""",empb-85
Yashvi Garde,yashvi_garde,yashvi_garde4168@yahoo.com,9147157989,IN,Asia/Kolkata,Asia,sales,"""1990-08-07""","98, Kadakia Road Bhubaneswar-478197","H.No. 166, Jain Circle Darbhanga-374685",Bhubaneswar,Bihar,478197,Robber,"""2020-03-12""",empb-58
Vritika Swamy,vritika_swamy,vritika_swamy4152@rediffmail.com,9553422594,IN,Asia/Kolkata,test,support,"""1996-09-19""","H.No. 773 Cherian, Alwar 306859",H.No. 286 Edwin Zila Gaya-528151,Alwar,Odisha,306859,Thief,"""2020-01-23""",empb-21
Nirvi Gulati,nirvi_gulati,nirvi_gulati5304@outlook.com,9149941178,IN,Asia/Kolkata,India,finance,"""1993-01-03""",03/57 Chaudhuri Road Dehri 367572,"H.No. 839, Thaker Ganj Kirari Suleman Nagar 455581",Dehri,Karnataka,367572,Doctor,"""2021-11-05""",empb-13
Ritvik Kothari,ritvik_kothari,ritvik_kothari9793@gmail.com,8817925289,IN,Asia/Kolkata,Asia,finance,"""1993-08-18""",70 Desai Zila Kadapa-980648,"323 Deshpande Road, Howrah 279363",Kadapa,Tamilnadu,980648,Engineer,"""2020-01-23""",empb-91
Drishya Mall,drishya_mall,drishya_mall4291@rediffmail.com,9146401777,IN,Asia/Kolkata,test,support,"""1999-09-05""","34, Sule Marg Jabalpur 496058","690 Apte Chowk, Sangli-Miraj & Kupwad-327523",Jabalpur,Tamilnadu,496058,Doctor,"""2020-12-28""",empb-42
Gatik Ghose,gatik_ghose,gatik_ghose4188@protonmail.com,9951868388,IN,Asia/Kolkata,test,finance,"""2000-11-08""","86/81, Suresh Circle Hazaribagh-091039","H.No. 18, Taneja Ganj Raipur 197997",Hazaribagh,Maharashtra,091039,Thief,"""2021-05-26""",empb-85
Vedika Agrawal,vedika_agrawal,vedika_agrawal5357@outlook.com,9957551001,IN,Asia/Kolkata,Asia,sales,"""1997-12-08""","03, Buch Chowk, Bhind-136377",36/341 Som Circle Saharanpur-857725,Bhind,Tamilnadu,136377,Priest,"""2020-11-18""",empb-67
Bhamini Sankar,bhamini_sankar,bhamini_sankar6139@protonmail.com,7001913069,IN,Asia/Kolkata,Asia,hr,"""1992-06-11""",H.No. 168 Bawa Nagar Jaunpur-112389,"38/22 Chowdhury Path, Visakhapatnam-901927",Jaunpur,Bihar,112389,Doctor,"""2021-08-10""",empb-54
Shaan Savant,shaan_savant,shaan_savant8267@rediffmail.com,9637708562,IN,Asia/Kolkata,test,hr,"""1997-11-22""",H.No. 717 Kota Nizamabad-766634,"42/079, Vasa Chowk, Loni 764635",Nizamabad,Jharkhand,766634,Robber,"""2020-05-11""",empb-42
